Generation, Worst, Lower Quartile, Mean, Median, Upper Quartile, Best, Median Fitness
3310,0.475,0.75,0.782375,0.8,0.825,0.975,33.15752133
3311,0.575,0.75,0.785125,0.8,0.85,0.95,33.22049974
3312,0.5,0.725,0.77675,0.775,0.825,0.95,32.43241732
3313,0.55,0.74375,0.779125,0.775,0.85,0.925,32.23307965
3314,0.525,0.725,0.785125,0.775,0.85,0.925,32.26297919
3315,0.575,0.725,0.77375,0.775,0.825,0.95,32.13477015
3316,0.475,0.725,0.774875,0.775,0.825,0.975,32.29544567
3317,0.5,0.75,0.773,0.775,0.825,0.95,32.19988316
3318,0.525,0.725,0.78225,0.8,0.825,0.925,33.02567277
3319,0.525,0.75,0.783,0.775,0.825,0.95,32.46656106
3320,0.55,0.725,0.784625,0.8,0.85,0.975,32.89812598
3321,0.475,0.725,0.76975,0.775,0.825,0.975,32.1450665
3322,0.5,0.725,0.7705,0.775,0.825,0.925,32.22377688
3323,0.425,0.71875,0.771375,0.775,0.825,0.925,32.19282593
3324,0.55,0.725,0.774,0.775,0.825,0.95,32.38491381
3325,0.575,0.725,0.7715,0.775,0.825,0.975,32.25831887
3326,0.525,0.725,0.77225,0.775,0.825,0.95,32.24547103
3327,0.55,0.725,0.7775,0.775,0.85,0.975,32.20770485
3328,0.55,0.725,0.76725,0.775,0.825,0.95,32.12106949
3329,0.525,0.725,0.7795,0.775,0.825,0.975,32.30632253
3330,0.575,0.71875,0.768375,0.775,0.825,0.95,32.11804896
3331,0.525,0.725,0.78325,0.775,0.85,0.925,32.38629484
3332,0.6,0.725,0.778125,0.775,0.825,1,32.29855901
3333,0.6,0.725,0.780375,0.775,0.825,0.95,32.33790421
3334,0.55,0.725,0.78325,0.775,0.825,0.95,32.32246995
3335,0.575,0.725,0.782125,0.775,0.825,0.95,32.31026468
3336,0.575,0.75,0.78675,0.8,0.825,0.95,33.10092042
3337,0.575,0.725,0.771125,0.775,0.825,0.925,32.17749789
3338,0.575,0.74375,0.776875,0.775,0.825,0.925,32.32288723
3339,0.5,0.725,0.78325,0.775,0.85,0.95,32.30204983
3340,0.525,0.725,0.774875,0.775,0.825,0.925,32.30552957
3341,0.55,0.725,0.777875,0.8,0.825,0.925,33.00649398
3342,0.55,0.75,0.789875,0.8,0.85,0.925,33.12642102
3343,0.475,0.74375,0.779625,0.8,0.825,0.925,32.98023663
3344,0.55,0.725,0.77825,0.775,0.825,0.95,32.45059662
3345,0.525,0.725,0.776875,0.775,0.825,0.975,32.33703833
3346,0.575,0.725,0.77925,0.775,0.825,0.925,32.28211474
3347,0.575,0.725,0.77225,0.775,0.825,0.95,32.11251049
3348,0.55,0.725,0.77875,0.775,0.825,0.925,32.44043882
3349,0.6,0.75,0.793375,0.8,0.85,0.95,33.17093983
3350,0.6,0.75,0.7855,0.775,0.825,0.95,32.4478105
3351,0.475,0.725,0.7765,0.775,0.83125,0.95,32.33915406
3352,0.5,0.74375,0.780375,0.8,0.825,0.925,33.09054851
3353,0.55,0.725,0.776,0.775,0.825,0.925,32.20442441
3354,0.55,0.725,0.774375,0.775,0.825,0.975,32.28704674
3355,0.525,0.74375,0.777375,0.775,0.825,0.95,32.25620001
3356,0.55,0.725,0.76975,0.775,0.825,0.95,32.11617992
3357,0.525,0.725,0.773875,0.775,0.825,0.925,32.28375182
3358,0.525,0.725,0.77525,0.775,0.825,0.95,32.37595974
3359,0.625,0.725,0.777625,0.775,0.825,0.95,32.31584176
3360,0.575,0.725,0.779875,0.775,0.83125,0.95,32.23314707
3361,0.525,0.75,0.778625,0.8,0.825,0.925,32.99951141
3362,0.525,0.725,0.777,0.775,0.825,0.95,32.26253747
3363,0.525,0.725,0.777375,0.775,0.825,0.95,32.26616261
3364,0.525,0.725,0.77475,0.775,0.825,0.95,32.15257064
3365,0.475,0.75,0.780625,0.775,0.825,0.95,32.27490601
3366,0.525,0.725,0.772375,0.775,0.825,0.95,32.17828236
3367,0.575,0.725,0.774625,0.775,0.825,0.95,32.24956562
3368,0.475,0.725,0.767125,0.775,0.825,0.95,32.14369791
3369,0.575,0.725,0.777,0.775,0.825,0.925,32.21954072
3370,0.55,0.725,0.77575,0.775,0.825,0.95,32.22281723
3371,0.575,0.725,0.776375,0.775,0.825,0.925,32.29645786
3372,0.525,0.725,0.770375,0.775,0.825,0.95,32.14676885
3373,0.55,0.725,0.77275,0.775,0.825,0.95,32.29326767
3374,0.45,0.725,0.775375,0.775,0.825,0.925,32.40436771
3375,0.525,0.725,0.7685,0.775,0.825,0.975,32.18399528
3376,0.5,0.725,0.7795,0.775,0.825,0.925,32.30369768
3377,0.55,0.75,0.780875,0.8,0.825,0.925,33.10416908
3378,0.5,0.725,0.78275,0.775,0.85,0.975,32.27570963
3379,0.55,0.725,0.77575,0.775,0.825,0.95,32.30781744
3380,0.525,0.725,0.76925,0.775,0.825,0.975,32.16864999
3381,0.475,0.725,0.778125,0.8,0.825,0.95,32.93610317
3382,0.575,0.725,0.769125,0.775,0.825,0.95,32.18684311
3383,0.575,0.725,0.7695,0.775,0.825,0.925,32.12291777
3384,0.575,0.725,0.779875,0.775,0.825,0.95,32.26175999
3385,0.55,0.74375,0.779625,0.775,0.825,0.95,32.37986628
3386,0.575,0.725,0.776,0.775,0.825,0.95,32.24813595
3387,0.55,0.725,0.77725,0.775,0.825,0.95,32.35305988
