Generation, Worst, Lower Quartile, Mean, Median, Upper Quartile, Best, Median Fitness
0, 0.25, 0.45, 0.502475, 0.5, 0.55, 0.8, 20.684331886476997
1, 0.275, 0.45, 0.50005, 0.5, 0.55, 0.8, 20.603624839083004
2, 0.175, 0.45, 0.50255, 0.5, 0.55, 0.725, 20.658427715085345
3, 0.275, 0.45, 0.5051, 0.5, 0.55, 0.775, 20.660708720582484
4, 0.225, 0.45, 0.504575, 0.5, 0.55, 0.8, 20.642004024129186
5, 0.25, 0.45, 0.5044500000000001, 0.5, 0.55, 0.775, 20.64050389307754
6, 0.25, 0.45, 0.5014000000000001, 0.5, 0.55, 0.775, 20.65546094739535
7, 0.225, 0.45, 0.5035000000000001, 0.5, 0.55, 0.775, 20.644035573216566
