Generation, Worst, Lower Quartile, Mean, Median, Upper Quartile, Best, Median Fitness
0, 0.325, 0.45, 0.5051249999999999, 0.5, 0.55, 0.75, 20.680325916586234
1, 0.225, 0.45, 0.5015, 0.5, 0.55, 0.75, 20.621980543270176
2, 0.3, 0.44375, 0.508375, 0.5, 0.575, 0.75, 20.612637171239143
3, 0.25, 0.45, 0.496875, 0.5, 0.55, 0.775, 20.57085890424599
4, 0.3, 0.45, 0.507125, 0.5, 0.575, 0.7, 20.677653537863748
5, 0.325, 0.44375, 0.49775, 0.4875, 0.55, 0.725, 20.12038322830891
6, 0.25, 0.45, 0.508, 0.525, 0.55, 0.725, 21.483726893923006
7, 0.325, 0.45, 0.50725, 0.5, 0.55, 0.725, 20.668937524821352
8, 0.3, 0.45, 0.4965, 0.5, 0.55, 0.75, 20.629255122804274
9, 0.275, 0.45, 0.5085, 0.5, 0.575, 0.75, 20.667801993400637
10, 0.3, 0.45, 0.500625, 0.5, 0.55, 0.675, 20.58600538757289
11, 0.3, 0.45, 0.49824999999999997, 0.5, 0.55, 0.675, 20.622966870195256
12, 0.25, 0.425, 0.50125, 0.5, 0.575, 0.775, 20.639124308840106
13, 0.2, 0.45, 0.5005, 0.5, 0.55, 0.725, 20.557392385053397
14, 0.275, 0.45, 0.499625, 0.5, 0.55, 0.75, 20.628023414792786
15, 0.3, 0.45, 0.49387499999999995, 0.5, 0.55, 0.725, 20.534728589583686
16, 0.325, 0.45, 0.498625, 0.5, 0.55, 0.675, 20.461461981301653
17, 0.3, 0.45, 0.49349999999999994, 0.5, 0.55, 0.7, 20.538972157507146
18, 0.275, 0.45, 0.49837499999999996, 0.5, 0.55, 0.775, 20.655362251994525
19, 0.25, 0.45, 0.49712500000000004, 0.5, 0.55, 0.675, 20.568737326124015
20, 0.25, 0.425, 0.48925, 0.5, 0.55, 0.725, 20.438147160288835
21, 0.3, 0.45, 0.49574999999999997, 0.5, 0.55, 0.675, 20.548613532942255
22, 0.275, 0.45, 0.501875, 0.5, 0.55, 0.725, 20.673916897373772
23, 0.3, 0.45, 0.51025, 0.5, 0.575, 0.7, 20.65464129220925
24, 0.325, 0.45, 0.5038750000000001, 0.5, 0.575, 0.85, 20.663473506253233
25, 0.3, 0.45, 0.4995, 0.5, 0.55, 0.775, 20.566833545295218
26, 0.275, 0.45, 0.5085, 0.525, 0.55625, 0.725, 21.5473683045364
27, 0.325, 0.45, 0.504875, 0.5, 0.55, 0.7, 20.75437776362697
28, 0.275, 0.45, 0.50225, 0.5, 0.55, 0.725, 20.688173359270714
29, 0.3, 0.45, 0.497375, 0.5, 0.55, 0.725, 20.5488248644022
30, 0.275, 0.45, 0.50625, 0.5, 0.575, 0.7, 20.6247872317837
31, 0.275, 0.425, 0.495875, 0.5, 0.55, 0.7, 20.691200002372653
32, 0.275, 0.45, 0.501125, 0.5, 0.55, 0.725, 20.600293977804938
33, 0.325, 0.475, 0.514125, 0.5, 0.575, 0.725, 20.953475636423377
34, 0.325, 0.425, 0.5, 0.5, 0.55, 0.75, 20.691299910736934
35, 0.275, 0.45, 0.506875, 0.5, 0.575, 0.7, 20.720753689990893
36, 0.3, 0.45, 0.510375, 0.5, 0.575, 0.7, 20.71938108809497
37, 0.275, 0.45, 0.50175, 0.5, 0.55, 0.775, 20.654263268602108
38, 0.3, 0.45, 0.5055, 0.5, 0.55, 0.7, 20.705294701695966
39, 0.275, 0.45, 0.503625, 0.5, 0.55, 0.75, 20.7695163602054
40, 0.25, 0.45, 0.508, 0.5, 0.575, 0.775, 20.743626842382877
41, 0.3, 0.45, 0.512625, 0.5, 0.575, 0.725, 20.730971332970856
42, 0.25, 0.45, 0.508625, 0.5, 0.575, 0.725, 20.674932812309546
43, 0.3, 0.45, 0.50275, 0.5, 0.55, 0.7, 20.60817178911367
44, 0.325, 0.425, 0.495875, 0.5, 0.55, 0.725, 20.52303524547478
45, 0.225, 0.45, 0.512875, 0.525, 0.575, 0.85, 21.47125503771339
46, 0.275, 0.45, 0.505375, 0.5, 0.55, 0.775, 20.589942425769614
47, 0.25, 0.45, 0.5055, 0.5, 0.575, 0.75, 20.6400871646619
48, 0.35, 0.45, 0.506625, 0.5, 0.55, 0.725, 20.723634286434855
49, 0.275, 0.45, 0.5042500000000001, 0.5, 0.55, 0.675, 20.64001975913571
50, 0.225, 0.45, 0.49787499999999996, 0.5, 0.55, 0.725, 20.60876528404747
51, 0.275, 0.45, 0.5037499999999999, 0.5, 0.55, 0.725, 20.633332310441673
52, 0.275, 0.425, 0.49275, 0.475, 0.575, 0.675, 19.743683460800163
53, 0.325, 0.45, 0.50325, 0.5, 0.55, 0.675, 20.72552211110961
54, 0.25, 0.45, 0.499375, 0.5, 0.55, 0.725, 20.626538451867944
55, 0.275, 0.45, 0.49775, 0.5, 0.55, 0.675, 20.543011980390396
56, 0.25, 0.46875, 0.50975, 0.5, 0.575, 0.775, 20.83368376529892
57, 0.3, 0.45, 0.4965, 0.5, 0.55, 0.725, 20.619842791136797
58, 0.275, 0.45, 0.507125, 0.525, 0.55, 0.75, 21.395068469144316
59, 0.325, 0.45, 0.512375, 0.5, 0.575, 0.75, 20.77691729694004
60, 0.3, 0.45, 0.5065000000000001, 0.5, 0.575, 0.7, 20.745863853217884
61, 0.325, 0.45, 0.5125, 0.525, 0.55625, 0.7, 21.52359333199189
62, 0.35, 0.45, 0.507375, 0.5, 0.55, 0.775, 20.67278531339887
63, 0.275, 0.45, 0.502875, 0.5, 0.55, 0.75, 20.517722552131293
64, 0.25, 0.425, 0.49275, 0.5, 0.55, 0.75, 20.64589062977827
65, 0.275, 0.425, 0.488875, 0.5, 0.55, 0.725, 20.39581496187429
66, 0.3, 0.45, 0.5051249999999999, 0.5, 0.55, 0.725, 20.647329411789386
67, 0.275, 0.45, 0.49874999999999997, 0.5, 0.55, 0.725, 20.5883925370489
68, 0.275, 0.44375, 0.488, 0.5, 0.55, 0.7, 20.44656982583902
69, 0.3, 0.425, 0.49725, 0.5, 0.55, 0.7, 20.668128981658214
70, 0.3, 0.45, 0.511125, 0.5125, 0.575, 0.725, 21.27550324928328
71, 0.3, 0.45, 0.49675, 0.5, 0.55, 0.7, 20.643742774700016
72, 0.275, 0.425, 0.49850000000000005, 0.5, 0.575, 0.675, 20.60365354177137
73, 0.225, 0.45, 0.503, 0.5, 0.55, 0.8, 20.590592209813014
74, 0.3, 0.45, 0.49874999999999997, 0.5, 0.55, 0.7, 20.63888660546869
75, 0.3, 0.45, 0.503, 0.5, 0.55, 0.7, 20.67332255804027
76, 0.325, 0.45, 0.49450000000000005, 0.5, 0.55, 0.7, 20.469960229923437
77, 0.275, 0.45, 0.50525, 0.5, 0.575, 0.725, 20.709733514764547
78, 0.3, 0.45, 0.4965, 0.5, 0.55, 0.725, 20.558730466078707
79, 0.275, 0.425, 0.48724999999999996, 0.475, 0.55, 0.7, 19.659778078269103
80, 0.25, 0.45, 0.49762500000000004, 0.5, 0.55, 0.675, 20.72288105144932
81, 0.325, 0.45, 0.5037499999999999, 0.5, 0.55, 0.75, 20.61526163221069
82, 0.275, 0.425, 0.49887499999999996, 0.5, 0.55, 0.7, 20.6406831943197
83, 0.25, 0.45, 0.499875, 0.5, 0.55, 0.725, 20.592316304784827
84, 0.25, 0.45, 0.499375, 0.5, 0.55, 0.7, 20.64105732233086
85, 0.275, 0.44375, 0.497, 0.5, 0.55, 0.7, 20.560666222244716
86, 0.3, 0.46875, 0.508625, 0.5, 0.55, 0.725, 20.672883704162196
87, 0.275, 0.45, 0.510375, 0.5, 0.575, 0.75, 20.709105693107027
88, 0.3, 0.45, 0.51075, 0.5, 0.55, 0.7, 20.783430453636175
89, 0.25, 0.45, 0.503625, 0.5, 0.55, 0.725, 20.67177050210134
90, 0.275, 0.44375, 0.49124999999999996, 0.475, 0.55, 0.7, 19.69631265464821
