Generation, Worst, Lower Quartile, Mean, Median, Upper Quartile, Best, Median Fitness
0, 0.325, 0.45, 0.50225, 0.5, 0.55, 0.7, 20.606054719334775
1, 0.325, 0.45, 0.505375, 0.5, 0.55, 0.75, 20.68597218852259
2, 0.3, 0.45, 0.49574999999999997, 0.5, 0.55, 0.725, 20.574114646999448
3, 0.3, 0.45, 0.484375, 0.475, 0.525, 0.675, 19.66924165258949
4, 0.275, 0.45, 0.49225, 0.5, 0.55, 0.7, 20.48731986354479
5, 0.175, 0.45, 0.50925, 0.525, 0.575, 0.675, 21.56247027234187
6, 0.325, 0.425, 0.488125, 0.475, 0.525, 0.725, 19.644591350638443
7, 0.3, 0.45, 0.497375, 0.5, 0.55, 0.75, 20.641905947359596
8, 0.3, 0.45, 0.50475, 0.5, 0.55, 0.7, 20.77903751986544
9, 0.275, 0.45, 0.5065000000000001, 0.5, 0.55, 0.725, 20.796305498932583
10, 0.3, 0.45, 0.516, 0.525, 0.575, 0.8, 21.472858605648142
11, 0.275, 0.425, 0.49437499999999995, 0.5, 0.55, 0.7, 20.583701955086074
12, 0.275, 0.425, 0.499, 0.5, 0.55625, 0.7, 20.712354988643717
13, 0.3, 0.45, 0.49387499999999995, 0.5, 0.55, 0.675, 20.569026030731216
14, 0.275, 0.45, 0.505625, 0.525, 0.55, 0.675, 21.500291094570603
15, 0.3, 0.45, 0.495, 0.5, 0.55, 0.775, 20.616328816691656
16, 0.25, 0.475, 0.518875, 0.525, 0.575, 0.7, 21.623015220456544
17, 0.3, 0.45, 0.5055, 0.5, 0.575, 0.725, 20.81211137972779
18, 0.3, 0.45, 0.504875, 0.5, 0.575, 0.75, 20.790024309783156
19, 0.275, 0.425, 0.49074999999999996, 0.5, 0.55, 0.725, 20.56804808405619
20, 0.3, 0.425, 0.48412499999999997, 0.5, 0.55, 0.725, 20.47989616349689
21, 0.25, 0.45, 0.5051249999999999, 0.5, 0.575, 0.7, 20.63325937673966
22, 0.3, 0.45, 0.49412500000000004, 0.5, 0.55, 0.7, 20.513740866043214
23, 0.275, 0.45, 0.50125, 0.5, 0.55, 0.725, 20.62071212454029
24, 0.225, 0.425, 0.49225, 0.4875, 0.55, 0.725, 20.147328587184063
25, 0.25, 0.45, 0.4965, 0.5, 0.55, 0.7, 20.640122465814713
26, 0.275, 0.45, 0.5002500000000001, 0.5, 0.55, 0.725, 20.64590439086783
27, 0.275, 0.45, 0.49850000000000005, 0.5, 0.55, 0.75, 20.568188087187117
28, 0.275, 0.45, 0.5035000000000001, 0.5, 0.55, 0.725, 20.711033995115038
29, 0.3, 0.45, 0.495, 0.4875, 0.55, 0.75, 20.093569634071528
30, 0.275, 0.45, 0.4965, 0.5, 0.55, 0.775, 20.502371015265638
31, 0.25, 0.475, 0.511625, 0.525, 0.575, 0.725, 21.57404927008563
32, 0.3, 0.45, 0.501875, 0.5, 0.55, 0.675, 20.637395976446047
33, 0.275, 0.45, 0.490625, 0.5, 0.55, 0.7, 20.45152733024952
34, 0.3, 0.45, 0.5, 0.5, 0.55, 0.725, 20.591920997592453
35, 0.25, 0.45, 0.49487500000000006, 0.5, 0.55, 0.725, 20.611460541125357
36, 0.275, 0.45, 0.494625, 0.5, 0.525, 0.675, 20.576116573763752
37, 0.225, 0.45, 0.496625, 0.5, 0.55, 0.75, 20.672808597660225
38, 0.275, 0.45, 0.508875, 0.525, 0.575, 0.725, 21.443724987523844
39, 0.3, 0.45, 0.49775, 0.5, 0.55, 0.7, 20.634759097238266
40, 0.275, 0.425, 0.497, 0.5, 0.55, 0.725, 20.595803784029762
41, 0.3, 0.425, 0.5045, 0.5, 0.575, 0.775, 20.785707693833167
42, 0.325, 0.45, 0.500875, 0.5, 0.55, 0.75, 20.589106057163214
43, 0.275, 0.425, 0.49837499999999996, 0.5, 0.55, 0.725, 20.562406938115537
44, 0.35, 0.45, 0.5041249999999999, 0.5, 0.55, 0.7, 20.7616688157825
