Generation, Worst, Lower Quartile, Mean, Median, Upper Quartile, Best, Median Fitness
0, 0.225, 0.45, 0.49482499999999996, 0.5, 0.55, 0.725, 20.545084293255762
1, 0.25, 0.45, 0.49952500000000005, 0.5, 0.55, 0.725, 20.58146103949847
2, 0.25, 0.45, 0.4988, 0.5, 0.55, 0.75, 20.613448255511955
3, 0.225, 0.45, 0.500275, 0.5, 0.55, 0.775, 20.61129220899246
4, 0.25, 0.45, 0.50005, 0.5, 0.55, 0.775, 20.581360171164157
5, 0.2, 0.45, 0.500925, 0.5, 0.55, 0.775, 20.604753846873542
6, 0.25, 0.45, 0.496, 0.5, 0.55, 0.775, 20.571358698448066
7, 0.275, 0.45, 0.503225, 0.5, 0.575, 0.8, 20.643116433136907
8, 0.25, 0.45, 0.5031749999999999, 0.5, 0.55, 0.85, 20.686282324430668
