Generation, Worst, Lower Quartile, Mean, Median, Upper Quartile, Best
0, 0.2561777709006821, 0.4636114125962239, 0.5195621675437198, 0.5172018660578134, 0.5693014147831338, 0.7515979005034525
1, 0.17950779273166034, 0.45830110711187116, 0.5163168099954458, 0.5152471418409478, 0.5717351204809134, 0.8285089199274127
2, 0.25917204886112394, 0.4633862549575073, 0.522183400310535, 0.516621304913931, 0.5889080672550192, 0.8085114056025142
3, 0.2571570665741107, 0.46194767458002756, 0.5165756165832793, 0.5151782942845509, 0.5709454161482894, 0.8046444116734521
4, 0.17856562027853268, 0.462296336359564, 0.5167815117456838, 0.5164663004017251, 0.5690389146195038, 0.7737677572680863
5, 0.28205401652861445, 0.4622750749263256, 0.5166139031984421, 0.5152620341596776, 0.5697574519587972, 0.7528531612338132
6, 0.25695522069345256, 0.46371738538294105, 0.5222467008515201, 0.5161166267018775, 0.5708189060375807, 0.8041996508710195
7, 0.23102111293212588, 0.46224277928520835, 0.52283491371011, 0.5207852647012517, 0.5921558044912045, 0.7719509271165117
8, 0.2584400270803833, 0.4636054844597865, 0.5194247402050964, 0.5173268161340584, 0.5704370504412525, 0.8272469038391547
9, 0.28084917290119693, 0.4627120982965189, 0.5216169144618888, 0.5181715807864814, 0.5779067262635487, 0.7930564592876806
10, 0.28121603174284177, 0.46311628709495684, 0.5197892833053539, 0.5178134525507401, 0.5789198387042057, 0.8029738881145507
11, 0.28095784647980554, 0.4629198734444341, 0.5206599514727596, 0.5180032869143322, 0.574123687900219, 0.7976829401070132
12, 0.282338677739759, 0.46381018772927673, 0.5241169615245994, 0.5203897609435726, 0.5895618605629819, 0.8224466701894684
13, 0.2063419767756553, 0.46412994541552266, 0.5199735688229261, 0.5172553477111451, 0.5688333366862084, 0.7498307635003485
14, 0.2326147978680976, 0.4624147241581216, 0.5158483702443326, 0.5151325960486057, 0.5675757234065493, 0.7754434944053697
15, 0.2596187511726278, 0.4621044638999833, 0.5181183522037982, 0.5165570146901732, 0.5870990020151204, 0.7793225363481948
16, 0.2576062282521431, 0.4621394194960958, 0.5197967204925293, 0.5171502281676815, 0.5893312685764469, 0.824858022036621
17, 0.2324567982698107, 0.4613859378218426, 0.5115840710859938, 0.5150384859824484, 0.5665784574494651, 0.7675305045897571
18, 0.2565155719725591, 0.46280024678169634, 0.5144289478074355, 0.5148435848167978, 0.5691968249945246, 0.7526590279646579
19, 0.25459693557594093, 0.46277680065377585, 0.5188500879249089, 0.516751784023497, 0.5712427087144085, 0.7669156085285789
20, 0.25618118489754943, 0.4583484217889883, 0.5177018530024513, 0.5169523169437437, 0.5873420970966594, 0.8160421262476276
21, 0.2563860633648176, 0.46385981869414905, 0.520213143788124, 0.515791250592562, 0.5869247250025583, 0.7998898248057476
22, 0.25566574141000414, 0.4622969345658471, 0.5198336985934573, 0.5169811518052632, 0.5885029318800742, 0.7699172793513235
23, 0.20632607515476006, 0.46414981835600316, 0.520679186846744, 0.5174685021512477, 0.5715520725073993, 0.8016311322640881
24, 0.25548139696505495, 0.46362429699499363, 0.5207157984750518, 0.5179029609863084, 0.5707548735058452, 0.7718914908463145
25, 0.28044870413154177, 0.46225292260694023, 0.516370851319764, 0.5156509177765569, 0.5688093797441961, 0.8514754538962344
26, 0.310728787955144, 0.46374956683592705, 0.5219317947980147, 0.5169144373156679, 0.5787099779446931, 0.749635600147748
27, 0.15362734263178426, 0.46431126392379074, 0.5244669611628929, 0.5191822035321577, 0.589445726813843, 0.7941112903415489
28, 0.2567670917011654, 0.4640210786328692, 0.5238894502383805, 0.5185694692213365, 0.5874577174927323, 0.79615877245625
29, 0.23031158421657788, 0.463307702849942, 0.5213679121333563, 0.5168565444449612, 0.5879967768837425, 0.7802502718348279
30, 0.25612353789260206, 0.4633719859842187, 0.5205855430764059, 0.5167187347949251, 0.5704522120061857, 0.770057049175259
31, 0.2870270482651424, 0.46497460714643796, 0.526068041352561, 0.5205028414856079, 0.5880366359258404, 0.8247418771019962
32, 0.20604166504683524, 0.4646905119015436, 0.5258859292642564, 0.5185995142036004, 0.5888039229128059, 0.7968065778467227
33, 0.30773953964714834, 0.4644773280835022, 0.5244171064685246, 0.5180633837671174, 0.5727323450572226, 0.8250639931926033
34, 0.25870541317025136, 0.4645926470373901, 0.5217230757528823, 0.517762963924545, 0.5736406361658523, 0.7493937202274839
35, 0.2814189627252075, 0.46399326981559463, 0.5268375137744985, 0.5207006662881801, 0.591991962896809, 0.8298675825278193
36, 0.2809169154268722, 0.4635413474430793, 0.5272357099102708, 0.5195837535055084, 0.5902417448096612, 0.8043361071665034
37, 0.23478315705378106, 0.4649676178534926, 0.5253445275754188, 0.5198029653649376, 0.5888047804786665, 0.805533212729068
38, 0.2822450187137231, 0.46378609217508043, 0.5268481355501557, 0.5193579935886767, 0.5918828565227133, 0.8528093523868838
39, 0.18131643260775618, 0.46458916127876276, 0.5241716744375671, 0.5180901151743192, 0.5860075608594333, 0.8251866371538155
40, 0.2576910074249271, 0.4646514638865675, 0.52827368624671, 0.5243563738450875, 0.591108851924021, 0.8283150240349277
41, 0.2561829156041283, 0.46672782628109066, 0.5267427776912413, 0.5218807222941804, 0.587147532779087, 0.802047350630526
42, 0.28162158173542834, 0.4649691756989764, 0.5275466293882721, 0.5203255596242, 0.5892189345153666, 0.82802504898481
43, 0.280962749143175, 0.4639177583022578, 0.5232795046148591, 0.5178074434347985, 0.5874870657092531, 0.7547517980263532
44, 0.23334384861842156, 0.4651003407926143, 0.5277794685773154, 0.5189761590712558, 0.5908199718096696, 0.7794625634407747
